,PC1,PC2,PC3,PC4,PC5
9. Nutrition breas::c12,-0.05034773159974066,0.007494259984157616,-0.0696852500543538,0.01038872330722114,-0.1417007507210234
9. Nutrition breas::c14,-0.06722845482194062,-0.04178637215463206,0.06516310788643782,-0.08742238651707479,0.06566587314036945
9. Nutrition breas::c16,-0.019875069361131262,0.12217320421130859,-0.04417111576592556,0.05955742325267837,-0.045888973057420575
9. Nutrition breas::c18,0.08247381860549093,-0.05330519240923096,-0.03562614611211326,0.053845690746335044,-0.05022368587431456
9. Nutrition breas::c20,0.04436297189922095,0.036432068496601924,-0.06933520577829523,0.06330915026849719,-0.035297441191867014
9. Nutrition breas::c22,0.05527857979182,-0.04355679387302911,-0.041388368909275816,0.06788163026384565,-0.06810301278857453
9. Nutrition breas::c24,-0.05343217265205655,-0.06096458903819832,0.05972720623918429,-0.04230152968683981,0.045723204940342974
10. Early Childhoo::c2,0.07034890537682631,0.01712875743131076,-0.06052783897308884,0.0458438099769743,0.03244801311181836
10. Early Childhoo::c4,0.07854693861838648,0.004293691068748184,-0.050782992499116705,0.050493264355598255,0.03303011096422657
10. Early Childhoo::c6,0.07890096606824647,0.009252489133074353,-0.04989423246823036,0.05244864653147879,0.02711401244481946
10. Early Childhoo::c8,0.06851691646366061,0.010531789298641783,-0.05555442219767426,0.06157466940498927,0.0033129916506886323
10. Early Childhoo::c10,0.0651394196628593,0.012703410395610515,-0.04948695452091499,0.021085211846545302,0.058681656451842014
10. Early Childhoo::c12,-0.040009697647282114,-0.08221506488294023,0.021628431150290863,0.1706404167368025,-0.08403646388982619
10. Early Childhoo::c14,-0.040575325071856905,-0.08527684519064377,0.021425120018187867,0.16861886652962746,-0.0812613955702577
10. Early Childhoo::c16,-0.03942893828127587,-0.07931287926810039,0.021608463144034307,0.17238057233432394,-0.08669092898800823
10. Early Childhoo::c18,-0.04897376334225489,-0.07431117834476647,0.03350990032956274,0.16089799243508457,-0.09148755410690328
10. Early Childhoo::c20,-0.03195067044146446,-0.09069791046977345,0.008540598930073038,0.1712560695959408,-0.05781062828963058
10. Early Childhoo::c22,0.09141521742659559,-0.056793667238324595,-0.027578216832216892,0.007872263945887133,0.0423676384976056
10. Early Childhoo::c24,0.0010087068381953732,0.06290490439941501,0.04258773895745309,0.11640121697713063,0.04105907202075577
10. Early Childhoo::c26,-0.0958631817201467,0.009834403351070789,-0.02733397198750059,0.031646463761021426,-0.06326675299008075
10. Early Childhoo::c28,-0.09547842328787651,0.011534297895158484,-0.02768896289306708,0.028607152262501517,-0.06297106517604396
